"識別ID","回答日時","セグメント","タグ","現在の職場で働くことを親しい友人や知人に、どの程度おすすめしたいと思いますか？ ※周囲に転職を検討されている友人・知人の方がいると仮定してお答えください","NPS要因 - 会社の理念やビジョン","影響理由 - 会社の理念やビジョン","NPS要因 - 会社の安定性・将来性","影響理由 - 会社の安定性・将来性","NPS要因 - 店舗/部門目標への共感","影響理由 - 店舗/部門目標への共感","NPS要因 - 顧客/お取引先との関係","影響理由 - 顧客/お取引先との関係","NPS要因 - 仕事の量","影響理由 - 仕事の量","NPS要因 - 自身が受ける評価","影響理由 - 自身が受ける評価","NPS要因 - 報酬(金額)","影響理由 - 報酬(金額)","NPS要因 - 成長の実感","影響理由 - 成長の実感","NPS要因 - 上司・上長との関係","影響理由 - 上司・上長との関係","NPS要因 - 同僚との関係","影響理由 - 同僚との関係","NPS要因 - PAとの関係","影響理由 - PAとの関係","NPS要因 - 店舗とHOMEの関係","影響理由 - 店舗とHOMEの関係","NPS要因 - 仕事のやりがい","影響理由 - 仕事のやりがい","NPS要因 - 福利厚生","影響理由 - 福利厚生","NPS要因 - 店舗/職場の清潔さ","影響理由 - 店舗/職場の清潔さ","NPS要因 - 会社の風土","影響理由 - 会社の風土","NPS要因 - 社会に対する事業の貢献度","影響理由 - 社会に対する事業の貢献度","NPS要因 - 会社・ブランドの知名度","影響理由 - 会社・ブランドの知名度","NPS要因 - 労働時間","影響理由 - 労働時間","NPS要因 - 昇給のしやすさ","影響理由 - 昇給のしやすさ","NPS要因 - 昇格のしやすさ","影響理由 - 昇格のしやすさ","NPS要因 - 業務における裁量","影響理由 - 業務における裁量","NPS要因 - 会社が用意する研修","影響理由 - 会社が用意する研修","NPS要因 - ツールや設備・インフラの整備","影響理由 - ツールや設備・インフラの整備","NPS要因 - ユニフォーム/服装のルール","影響理由 - ユニフォーム/服装のルール","現在、実際に今の職場への採用応募をすすめたい方はどれぐらいいますか？","今の職場でどの程度長く働きたいと思いますか？","総活躍企画のバームクーヘンについてどう思いますか？","上記の回答を選んだ理由を教えてください。","権限委譲の現状についてどう思いますか？","上記の回答を選んだ理由を教えてください。","会社の副業のルール（会社の許可を取った場合のみ副業可 能）を知っていますか？","今後副業をしたいですか？","今後副業をするとしたら、どんな目的ですか？","副業をするとしたら、具体的にどんなことをしたいですか？","IPアドレス","UserAgent"
"tPCb4OZDWU","2019/06/05 23:19:08","セグメントなし","","6","ややマイナスに影響した","もう少しラフに働きたい人が多いのではないかと感じる。","ややマイナスに影響した","若干飽きられてきているのではないか。
競争が激しくなっていくなかでどうやって生き残っていくのか少し不安","影響しなかった","","ややプラスに影響した","ブランド力もあり常連の人も多いと思うのでそこは強みかと思う","ややマイナスに影響した","店舗や役割によって偏りがあるように思う","ややマイナスに影響した","新しい制度でどうなるかわからないが自身のやっている責任や金額に対してもう少し評価してもらってもいいんではないかと感じています。","ややマイナスに影響した","自身のやっている責任や金額に対してもう少し評価してもらってもいいんではないかと感じています。","ややマイナスに影響した","業務に終われている感覚がある。","ややマイナスに影響した","あまり関わりあいを持てなかった。","ややマイナスに影響した","不満因子を取り除けなかった","影響しなかった","","ややマイナスに影響した","やや距離を感じる","ややマイナスに影響した","明確な目標が見えないというのはあります","マイナスに影響した","家族手当など考えてもらいたいです。
誕生日休暇もなくなったりこれからいい方向に向かうのか不安","影響しなかった","","ややマイナスに影響した","風土と言えるかわからないですが、色々と直前で決まることが多いので困ることが多い","ややプラスに影響した","ニーズがあるということは貢献しているということではないんでしょうか","プラスに影響した","DDの名前は知れわたっていますしお洒落なイメージもあると思うのでプラスの要因だと思います","マイナスに影響した","人材不足もあり特定の人間には負担は大きくなっています","マイナスに影響した","責任を負わなければあるわけありませんが、それでも幅が狭いんではないかと感じます。","マイナスに影響した","明確な判断基準が曖昧なのと上が詰まっているように思います","マイナスに影響した","見えにくい仕事をしているわけですが、そこをきっちり評価されてるように感じません","影響しなかった","","影響しなかった","","影響しなかった","","いない","１年以上3年以内くらい","良い企画だった。","","少しは進んでいるように感じる。","","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"7MuwWRRMpD","2019/06/05 23:15:41","セグメントなし","","8","ややプラスに影響した","自分が素敵だと思えるものや事が共鳴して広がっていくことは嬉しいですし、もっと自分からも広めていきたいと思えるからです。","影響しなかった","","影響しなかった","","非常にプラスに影響した","お客様もステキな人が多く、家族のように接することができる人が多いですし、お会い出来て嬉しいと思えるような人々と出会えるからです。","ややマイナスに影響した","雑貨屋さん、インテリアショップと聞くと華やかな楽しいイメージも多いですが、力仕事も細かい作業も多く楽しいばかりではないからです。","影響しなかった","","影響しなかった","","プラスに影響した","仕事の基本だけでなく、社会人としての在り方なども学ぶことができましたし、接客業は多くの人と接することができるのでコミュニケーション能力も培われると思います。","ややプラスに影響した","尊敬できる人が多いからです。","プラスに影響した","人当たりの柔らかい、話しやすい人が多く、共に頑張っていけると感じたからです。","プラスに影響した","仕事のことだけではなく会話を楽しみ、場の雰囲気を良くしてくださる人が多いからです。","ややプラスに影響した","なかなかお会いする機会が少なくても、店舗のメンバーのことを気にかけてくださり心強いからです。","プラスに影響した","売場作りや接客など頑張ったことが売上として目に見えたり、顧客様が増えることでお会いできる楽しみが増えたり、もっと頑張ろうと思えるからです。","プラスに影響した","産休育休や時短業務など安心して働く為の制度がしっかりしていると感じたからです。","影響しなかった","","プラスに影響した","HOMEの方々でも他の店舗のメンバーでもとても気さくに話しかけてくださいますし、声を掛け合いやすい会社だと感じるからです。","ややプラスに影響した","このお店に来れば何か見つかると思っていただけたり、つい立ち寄りたくなると言っていただけるようなお店だからです。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややプラスに影響した","普段なかなか会えない違うブランドの方や他店のメンバーとお会いできるチャンスにもなりますし、頑張ろうと前向きになれる研修が多いからです。","影響しなかった","","影響しなかった","","１人","１年以上3年以内くらい","良い企画だった。","他のメンバーが何を意識して頑張っているのかが目に見えて確認出来たので協力しやすいですし、自分の目標も目の前に掲げてあるので気持ちを思うと高めるのにも役立ちました。","進んでいるようには感じない。","","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"FI7VzbqNR4","2019/06/05 22:49:23","セグメントなし","","5","ややマイナスに影響した","合併後の良い変化を感じられないため。","マイナスに影響した","ARが大きい赤字が出ている事の懸念。","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","大型店の評価が高く、
小型店は低い事。
マネージャーのNY研修が無くなった事。","マイナスに影響した","業績賞与がなくたった事。
マネージャーとサブの給与に大差がなく、ベアも小さい事。","影響しなかった","","プラスに影響した","中井さんは、来てくれると凄く褒めて下さります。永平さんはどんなときもいつも自分の方です。
久保田シェフ、吉川シェフも大変温かい方です。

すごくプラスでないのは、
FBの上の方が自分の存在を認め無いこと。「お前誰だっけ」とか平気でいうところ。東海のラウンドに来ても栄だけ来ないこと。
パワハラとも取れ、人間的に尊敬出来ません。冷酷。

本当に辞めたくなります。本当に。","非常にプラスに影響した","お客様に対して、メンバーに対して精一杯の事をしてくれます。大変感謝していますし、尊敬もしてます。","非常にプラスに影響した","僕なんかに店長で良かったとか嘘でも言ってくれるところです。
お客様、メンバー、栄店を大切にしてくれてます。","非常にマイナスに影響した","ホームの仕事が店舗に下ろされ、だんだん店の負担になってきてます。特にf&b。

WOWのやりとりを見ているとメンバーに手厚いMDもいれば、ささいな質問で感情的になってメンバーを傷つけるMDも入ると思いました。

営業施策のメンバーズ5%オフに関しては、クレーム喚起をエリアマネージャーがしていたものの修正忘れがあり、
クレーム対応する事がありました。
特に当日入会も5%offOKについてはレジの戻しなどで混乱を起こし、現場のオペレーションまで考えてくれてないと実感しました。

","ややマイナスに影響した","自分でやりがいは見つけるものと思いますが、活躍の場が限られている、年々限られてくる焦りがあります。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","大型店と小型店での評価の違い。
地方は特にしにくい。
","マイナスに影響した","","プラスに影響した","マネージャー次第ですが、リーダー以上は任されている感じは常にあります。","マイナスに影響した","マネージャーの研修がごぶさたのため。","マイナスに影響した","キャッシャーマニュアルやメンバーズカードのマニュアルはあるがその他のマニュアルは店舗任せであり、
マネージャー次第で良い意味でも悪い意味でも店が変わってしまう事。","影響しなかった","","いない","３年以上5年以内くらい","良い企画だった。","社員中心だった会社が、PAも取り込んだ人材育成を始めたこと、誰もが目標を持って仕事することは素晴らしいです。また、それを評価される事も。全員WOWトークも有難いです。","進んでいるようには感じない。","特段、実感が無いです。","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"5vEHPi6Nd7","2019/06/05 22:39:26","セグメントなし","","3","影響しなかった","","非常にマイナスに影響した","利益をいくらがんばったとしても、どこかで　大きな支出をして、その業務がかなり精度の悪い状態というところが　今期は　EC のシステム的な投資。投資に見合うクオリティーを望みます。こういった点を社員のみんなは気づき　不信感につながってしまうと感じます。","プラスに影響した","店舗のみんなは不信感を会社は（一部は　本部の私たちにもあると思いますが）もってやめてしまっているメンバーもいますが、大半は　ブランドをお客様に伝えていこうと一生懸命、そして達成できることが　きっと大きなやりがいになっているのではと感じるため。","プラスに影響した","とても好意的にお取引を喜んでいただけていると思うことが多いため、とても幸せなことですし、その方たちの期待を裏切らないようにと思います。","プラスに影響した","回答を間違えました、すみません。マイナスに影響した状態です。仕事の流れが下になるほど　過多（碑文谷で残っている人は大半同じメンバーで、同じことでいつも　苦戦しています）な現状をよく見ているため。","影響しなかった","","影響しなかった","","マイナスに影響した","会社としての利益という面で、成長した実感がわかないため。","影響しなかった","","プラスに影響した","働いているメンバーは　とてもよいメンバーが多いと感じるため。","プラスに影響した","PA メンバーも、PA を超えた働きをしてくれているのをよく目にするため。","プラスに影響した","よくお店にいって　みんなと話をしたいと思っていますが今期はそれが　あまり自身のせいでできていませんが、そういったことを待ってくれている　と思えることが　メンバーから感じられるため。","プラスに影響した","作り手さんやお客様に喜んでいただけていると思えることがプラスのため。","マイナスに影響した","メンバーが年齢を重ねる中、年金などの（今後は対応いただけていることはわかっていますが）
そういった　先々の手厚さの　などが　長くやっていけるのかなと　思ってしまうことがあるため。また貯蓄をできるだけの　給与というバックアップがないことがとても　福利厚生に求める部分を左右すると思います（給与が安定してあがっていくことが分かっているとそちらでまかなって、となるという意味です）","影響しなかった","","プラスに影響した","自由で、自分がやろうと思ったブランドにとってよいと思われることは　お金的なことが　クリアできれば　やれる風土が感じられるため","影響しなかった","","ややプラスに影響した","やはり　知っていただけている方が多いので。","マイナスに影響した","どうしても　仕事量は多いと思います。改善したいときに、システム（EDI が遅いなど）で改善できないことを　誰も解決できない　＝　がまんして　時間を費やす　ということが良くあります。
業務改善を　自身だけでは解決できないときに、会社でもできない。","マイナスに影響した","昇給率が低いため、しやすい　ではなく　しても　あまり昇給の喜びがない。
（実績を出していたとしても　それでは　と　やめていくメンバーを多く見ています）","影響しなかった","","ややプラスに影響した","こちらは　風土にも記載した、自身で　きちんんと責任をもって　業務を行い　成すことは
任せていただけていると感じるため。","影響しなかった","","非常にマイナスに影響した","EDI や　システム的な業務が　多い中、誰とどうやって改善していってよいか頼れない。システムの入れ替え、統合なども　結局、関わるメンバーは毎日遅くまで、修正などにいまでも追われています。","ややプラスに影響した","私服のため","いない","今のところ退職は考えていない","良い企画だったとは思わない。","シンプルに基本に立ち戻るということでは、とても自身も原点に立ち戻れ、良かったと実感していますが、お店のメンバーが実際どう思ってくれていたのか？が　わからないため上記の答えとなります。","少しは進んでいるように感じる。","ブランドが　ブランド責任者がいなかったこともあり、各MGR がそういった意識を持ってくれていたと感じます。その反面、ID連携含めた件では、このプロジェクトはだれが　リーダーで仕切っていて、というのがとてもわからず、また、細かい部分が結局現場にすべて権限移譲ではなくただ、流されただけの仕事のに感じられ、とても大変でしたし、その結果・改善を誰と相談・進めて良いかいまだにわからないです。","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"iLPhxgYBkc","2019/06/05 22:18:01","セグメントなし","","3","影響しなかった","","プラスに影響した","福利厚生があり安心。
昇給、休日、労働時間等の改善をしていってくれる点。
","影響しなかった","","影響しなかった","","マイナスに影響した","まだ入社して間もないとゆう事もありますが、勤務時間内に仕事が終わらない事が多い。スタッフも少ない為、一人当たりの仕事の割り振りも多く、チームメンバーみんな日々、心と時間に余裕がないように思います。","影響しなかった","","ややプラスに影響した","以前は個人経営のお店で働く事が多かった為、安定した月給、賞与、残業代がしっかり加算される点はとても魅力です。
","影響しなかった","","影響しなかった","","ややマイナスに影響した","2-2、の質問と重なる点もありますが、チームメンバー皆、日々の仕事と時間に追われてピリピリした雰囲気のため、コミュニケーションを取りづらい事が多々あるから。
新人の私としては、その雰囲気にとても気を使ってしまいます。","ややマイナスに影響した","こちらも2-2、2-4の回答と同様です。
私より社歴の長いPAさんなので、いろいろ教えてもらってますが、ピリピリした雰囲気の事が多い為。","影響しなかった","","ややマイナスに影響した","入社3ヶ月の為、まだ私自身に余裕がないとゆうことが大半です。
お店、チームの戦力になってる実感がまだ感じられないから。","プラスに影響した","先ほど回答した質問と重なりますが、以前は福利厚生のない個人経営のお店で働く事が多かったので。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","決められた退勤時間に気持ちよくあがれる事が少ない為","影響しなかった","","影響しなかった","","ややマイナスに影響した","こちらは私自身の問題なのですが、入社して日が浅く、まだ自信が持てていない為。","影響しなかった","","影響しなかった","","影響しなかった","","いない","今のところ退職は考えていない","良い企画だった。","改めて自分自身の目標をしっかり考える機会になったのと、ほかのメンバーの目標も見れて自分への刺激にもなった為。","少しは進んでいるように感じる。","申し訳ありませんが、こちらの質問については入社間もない為、まだ現状把握できていません。
先日からPAの面談は社員のリーダーがするようになっていた為、こちらの回答に致しました。","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"25mU8sAwjC","2019/06/05 22:17:14","セグメントなし","","0","影響しなかった","","非常にマイナスに影響した","昇格もなかなか出来ない人が多い。そのため辞めていく人が多い。将来的に不安になります。
","マイナスに影響した","","影響しなかった","","非常にマイナスに影響した","本当に多い。","ややマイナスに影響した","","非常にマイナスに影響した","仕事量に対して全然見合っていない","ややマイナスに影響した","成長しきっているので実感はありません。","影響しなかった","","影響しなかった","","影響しなかった","","マイナスに影響した","温度差を感じます。","影響しなかった","","ややマイナスに影響した","","影響しなかった","","マイナスに影響した","","マイナスに影響した","","影響しなかった","","ややマイナスに影響した","販売なので難しい部分もありますが、店長によって残業が当たり前だったりバラバラです。統一してほしい。","非常にマイナスに影響した","","非常にマイナスに影響した","","非常にマイナスに影響した","","マイナスに影響した","","影響しなかった","","影響しなかった","","いない","今のところ退職は考えていない","良い企画だったとは思わない。","やる意味ありますか？","少しは進んでいるように感じる。","","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"uSqgF7LNW6","2019/06/05 22:09:38","セグメントなし","","3","プラスに影響した","実際の現場と照らしあわせてみると違うところも多いが、ビジョンとして掲げていることが現場で実現出来たならもっと明るい職場になると感じたから。会社のビジョン、目指すところに不満はない。","マイナスに影響した","人員不足がどんどん深刻化し、現場もHOMEもどこも手一杯なのが目に見えてわかる中で働いていて、自身が今後どうしたら良いのか目標を立てづらい、モチベーションが上がりづらくなっている。","マイナスに影響した","","影響しなかった","","マイナスに影響した","人員不足が深刻化し、やらなければならない仕事の量がどんどん増えていき今後を考えると辛い。","影響しなかった","","ややマイナスに影響した","現時点では仕事量に見合っていないと感じているが、来期よりみなし残業時間が減ったりボーナスが増えるなど改善が見込めるため、これから少しずつ改善されていくと期待してはいるが、人件費が圧迫することで会社の利益が果たして出るのか不安。","ややマイナスに影響した","評価面談の制度があるものの、結局自身の振り返りのツールになるのみで上長からの評価は無く、反省することばかりが目に付き成長はとても実感出来ない。","ややマイナスに影響した","休みの日も連絡を取り合わなければならず、もう少しプライベートを確保したい。","影響しなかった","","プラスに影響した","良い子が多い。PAを育成することにもやりがいを感じられる。","ややプラスに影響した","店舗とHOMEの距離が近い。誰がどの部署にいるのか、顔や名前を知っているので、何か困ったことがあった際はいつでも頼ってよいと感じられる。","ややマイナスに影響した","直面するたくさんの業務を「こなす」「消化する」のが精一杯で、それに対して達成感だったりやりがいを感じられない。","マイナスに影響した","有休、特休が全く取れていない。","ややマイナスに影響した","","影響しなかった","","ややプラスに影響した","ブランドの名前はどんどん大きくなっていることに加えて、新しく展開している事業は地域に密着しているものも多いので、ビジョンとの相違は感じなかった。","ややプラスに影響した","","マイナスに影響した","勤務時間が長くプライベートの時間が殆ど取れない。また、時間に制限のあるPAばかりなのでシフト時間さえ全く身動きが取れない。","ややマイナスに影響した","","ややマイナスに影響した","昔に比べたら明らかに昇格しやすくなっているとは思うが、人員不足のため昇格せざるおえないのでは、と感じてしまって不安に思う場面も多いと感じた。","影響しなかった","","影響しなかった","","ややマイナスに影響した","修繕が追いついていない。新システムが稼動するも不具合ばかりで不安が募る一方。","ややプラスに影響した","ユニフォームは清潔感があって良い。服装ルールも乱れている人が少ない。","いない","今のところ退職は考えていない","良い企画だったとは思わない。","メンバー間コミニュケーションをより良くするための前向きなツールだったにも関わらず、どうしても業務の一環という意識に囚われてしまい、「義務感」をかなり強く受けてしまった。また、日々の業務をこなすだけで精一杯なので、バウムクーヘンのことを考えられる余裕が無かった。","少しは進んでいるように感じる。","人員不足もあり、積極的にPAさんに業務をお願いする機会が増えた。また、社員一人当たりが負う責任も大きくなっていると感じる。","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"S5YefcQDDM","2019/06/05 22:01:13","セグメントなし","","2","プラスに影響した","感性を大切にするところがいいと思った。","マイナスに影響した","毎年色々なことが変わるので、安定した成長が見込めない。","影響しなかった","","ややプラスに影響した","専門知識を持ってるベンダーさんから色々学ぶことができる。","マイナスに影響した","売り場での仕事に加えて、事務仕事もやらないといけないので、定時内に終わらない。","影響しなかった","","マイナスに影響した","世間的に高い方ではない。残業代が既に含まれている。","ややプラスに影響した","初めから裁量権があるので、成長できるチャンスは多くある。","ややプラスに影響した","今の店舗では上司に不満はあまりない。","影響しなかった","","ややプラスに影響した","ベテランのPAさんから学ぶことはたくさんある。","影響しなかった","","ややプラスに影響した","色々なことにチャレンジできる環境がある。","非常にマイナスに影響した","全く充実していない","非常にマイナスに影響した","古い店舗は汚れが溜まって清掃しきれない。リニューアルオープンしたのに店舗設備は前のまま。","ややプラスに影響した","色々なことにチャレンジできる。","プラスに影響した","社会にとってなくてはならないブランドに近づいている。","プラスに影響した","1日1回はブランドロゴを見かける。知らない人は少ないだろう。","非常にマイナスに影響した","定時で帰れる日は極めて少ない。","影響しなかった","","影響しなかった","","プラスに影響した","若くしてある程度の業務を任せてもらえる。","マイナスに影響した","入社後の研修は十分ではないし、その後のフォローアップ研修も不十分である。","マイナスに影響した","古い設備のリニューアルが間に合っていない。これが、売上の低下に繋がっているのは明白なのに、リニューアルを急ぐ気がまったくない。","マイナスに影響した","一年中同じユニフォーム。季節によって変えるべきだ。","いない","今のところ退職は考えていない","良い企画だったとは思わない。","社員にどうメリットがあるのかわからない。","少しは進んでいるように感じる。","PPFに関しては、店舗への裁量権が大幅に増した。","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"OBFzKH477M","2019/06/05 21:44:45","セグメントなし","","3","影響しなかった","","ややマイナスに影響した","利益をあまり残せていないから","ややマイナスに影響した","目標が曖昧に感じ","ややプラスに影響した","良いお客様が多い","ややマイナスに影響した","残業が常態化","影響しなかった","","非常にマイナスに影響した","仕事量が増えても報酬が増えない","ややマイナスに影響した","ほとんどのメンバーが任される仕事の範囲が狭いため","影響しなかった","","ややプラスに影響した","よいメンバーに恵まれて","影響しなかった","","影響しなかった","","ややマイナスに影響した","任される仕事の範囲がせまいから","マイナスに影響した","最低限のものしか揃っ","影響しなかった","","影響しなかった","","影響しなかった","","プラスに影響した","センスがよく質の良いものばかりを扱って","マイナスに影響した","長時間労働が常態化","マイナスに影響した","ほとんど昇給","ややマイナスに影響した","上が","ややマイナスに影響した","一般社員には裁量はほとんどないように感じ","影響しなかった","","非常にマイナスに影響した","システムの不具合が多いのに対応しきれていない、プロモーションを無計画にやるので現場に情報のおとしこみがいつも不十分。","影響しなかった","","いない","３年以上5年以内くらい","良い企画だった。","PAさんとコミュニケーションをとるきっかけになって","進んでいるようには感じない。","何がどう変わったのかわからない","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"FSj35eoJzJ","2019/06/05 21:37:51","セグメントなし","","3","ややマイナスに影響した","","影響しなかった","","非常にマイナスに影響した","","マイナスに影響した","","影響しなかった","","ややマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","","非常にマイナスに影響した","","ややマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","ややマイナスに影響した","","影響しなかった","","影響しなかった","","影響しなかった","","非常にマイナスに影響した","","非常にマイナスに影響した","","影響しなかった","","マイナスに影響した","","影響しなかった","","影響しなかった","","いない","半年以上1年以内くらい","良い企画だったとは思わない。","","少しは進んでいるように感じる。","","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"bxEnDQ6ITw","2019/06/05 21:27:26","セグメントなし","","7","影響しなかった","","ややマイナスに影響した","毎年変わる評価制度や、評価のグレーな点。
自身にとって中途入社からの移動（部署を跨ぐ）が多かった為不安は感じる。","ややプラスに影響した","現在の店舗の環境が人は足りていないものの、とても良い環境に整いつつある為。","ややプラスに影響した","以前から変わらず地域密着型のgiraffeでは顧客様が多く、昨年より顧客様戻り、新規顧客様も増えた為。","影響しなかった","","影響しなかった","","ややマイナスに影響した","時代の変化と共に飲食業の中でも平均より下回る給与である為。","ややプラスに影響した","今後の展開も含め、発展途上なブランド故の、メンバーの意見や貢献により多くの達成感が得られる環境である為。","ややプラスに影響した","小規模組織だからこその上司・上長との距離が近く、意見や相談もしやすいと感じる為。","ややプラスに影響した","店舗内においてはとても良好な関係性だと感じる為。","ややプラスに影響した","少ない人数でありながらも、思い遣りのあるメンバーばかりで日々助けられていると感じる為。","影響しなかった","","ややプラスに影響した","ここまでの内容と共に責任者としてブランドを引き上げていくために、【ヒト】に恵まれた環境である事により、今以上を常に目指したいと思える為。","ややプラスに影響した","以前に比べ、平均的に充実した内容であると感じる為。","ややプラスに影響した","リニューアルも済み、メンバーで日々維持に努めている為。","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","評価基準が定着せず、基本の基準に結果上長による調整が入る事により良くも悪くもグレーである。
タイトルが付かないと昇給もしない。
タイトルが付いても入社期間によって他メンバーとの差があまりない。","ややマイナスに影響した","前回答同様","ややマイナスに影響した","店舗営業がメインであるため、責任者とはいえ【業務】と呼ぶ仕事をこなせる時間はない。
結果休みや勤務外で仕事をしなければ終わらない。","影響しなかった","","影響しなかった","","影響しなかった","","１人","半年以上1年以内くらい","良い企画だったとは思わない。","実施内容の意図が分かりにくい。
結果こういった取り組みは現場発信でないと浸透し難い。『やらされている』と感じるメンバーが多い。","進んでいるようには感じない。","事柄によっては意味合いは感じるが、細分化され進まない事が多かったり、連携が取れていないように感じる。不明瞭。","","","","","1.75.237.24","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
"iye6SBFzBY","2019/06/05 21:22:09","セグメントなし","","2","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","給料が安い","ややマイナスに影響した","成長できるような環境ではない","ややマイナスに影響した","頼りになる、尊敬できる上司がいない","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","影響しなかった","","ややマイナスに影響した","昇給額が低すぎる","影響しなかった","","マイナスに影響した","業務内容と評価が見合ってない","影響しなかった","","影響しなかった","","影響しなかった","","いない","今のところ退職は考えていない","良い企画だったとは思わない。","","進んでいるようには感じない。","","","","","","125.12.60.6","Mozilla/5.0 (iPhone; CPU iPhone OS 12_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148"
